Date,Close
7/16/2018,29.15
7/17/2018,29.64
7/18/2018,29.52
7/19/2018,29.38
7/20/2018,29.19
7/23/2018,29.26
7/24/2018,29.65
7/25/2018,29.86
7/26/2018,29.99
7/27/2018,30.33
7/30/2018,30.43
7/31/2018,30.66
8/1/2018,30.6
8/2/2018,30.11
8/3/2018,30.66
8/6/2018,30.29
8/7/2018,30.73
8/8/2018,30.73
8/9/2018,30.24
8/10/2018,30.09
8/13/2018,29.69
8/14/2018,29.94
8/15/2018,29.43
8/16/2018,29.79
8/17/2018,30
8/20/2018,30.22
8/21/2018,30.33
8/22/2018,30.48
8/23/2018,29.96
8/24/2018,29.68
8/27/2018,30.43
8/28/2018,30.48
8/29/2018,30.54
8/30/2018,30.03
8/31/2018,29.63
9/4/2018,28.98
9/5/2018,28.67
9/6/2018,28.75
9/7/2018,28.65
9/10/2018,28.57
9/11/2018,28.44
9/12/2018,28.16
9/13/2018,28.6
9/14/2018,28.9
9/17/2018,28.98
9/18/2018,29.69
9/19/2018,30.28
9/20/2018,30.6
9/21/2018,30.87
9/24/2018,30.66
9/25/2018,30.73
9/26/2018,30.3
9/27/2018,30.35
9/28/2018,30.08
10/1/2018,30.42
10/2/2018,30.46
10/3/2018,29.37
10/4/2018,29.15
10/5/2018,28.85
10/8/2018,28.94
10/9/2018,28.28
10/10/2018,27.84
10/11/2018,27.14
10/12/2018,27.21
10/15/2018,27.05
10/16/2018,27.7
10/17/2018,27.58
10/18/2018,27.13
10/19/2018,27.17
10/22/2018,27.08
10/23/2018,27.18
10/24/2018,26.04
10/25/2018,26.63
10/26/2018,26.75
10/29/2018,26.7
10/30/2018,27.81
10/31/2018,28.5
11/1/2018,28.84
11/2/2018,28.43
11/5/2018,28.6
11/6/2018,29.3
11/7/2018,28.89
11/8/2018,28.46
11/9/2018,28.5
11/12/2018,28.16
11/13/2018,28.14
11/14/2018,28.3
11/15/2018,28.22
11/16/2018,28.21
11/19/2018,28.05
11/20/2018,27.6
11/21/2018,27.93
11/23/2018,27.76
11/26/2018,28.29
11/27/2018,28.03
11/28/2018,28.04
11/29/2018,27.82
11/30/2018,28.17
12/3/2018,28.72
12/4/2018,27.68
12/6/2018,27.25
12/7/2018,26.89
12/10/2018,26.8
12/11/2018,26.77
12/12/2018,27.26
12/13/2018,27.23
12/14/2018,26.91
12/17/2018,26.54
12/18/2018,26.88
12/19/2018,26.76
12/20/2018,26.51
12/21/2018,25.9
12/24/2018,25.47
12/26/2018,26.01
12/27/2018,26.18
12/28/2018,26.41
12/31/2018,26.45
1/2/2019,26.48
1/3/2019,26.12
1/4/2019,27.31
1/7/2019,27.82
1/8/2019,28.48
1/9/2019,28.7
1/10/2019,28.88
1/11/2019,29.27
1/14/2019,29.43
1/15/2019,29.44
1/16/2019,29.51
1/17/2019,29.54
1/18/2019,29.76
1/22/2019,29.51
1/23/2019,29.3
1/24/2019,29.64
1/25/2019,30.01
1/28/2019,29.89
1/29/2019,29.76
1/30/2019,30.02
1/31/2019,30.07
2/1/2019,29.13
2/4/2019,28.42
2/5/2019,28.03
2/6/2019,27.52
2/7/2019,27.01
2/8/2019,26.76
2/11/2019,26.65
2/12/2019,26.89
2/13/2019,27.02
2/14/2019,27.32
2/15/2019,27.37
2/19/2019,27.56
2/20/2019,27.61
2/21/2019,27.73
2/22/2019,28.17
2/25/2019,28.39
2/26/2019,28.51
2/27/2019,28.45
2/28/2019,28.27
3/1/2019,28.35
3/4/2019,27.7
3/5/2019,27.6
3/6/2019,27.64
3/7/2019,27.1
3/8/2019,27.05
3/11/2019,27.43
3/12/2019,27.34
3/13/2019,27.4
3/14/2019,27.22
3/15/2019,27.45
3/18/2019,27.58
3/19/2019,27.72
3/20/2019,27.46
3/21/2019,27.66
3/22/2019,27.28
3/25/2019,27.12
3/26/2019,27.47
3/27/2019,27.16
3/28/2019,27.3
3/29/2019,27.17
4/1/2019,27.89
4/2/2019,28
4/3/2019,28.14
4/4/2019,28.44
4/5/2019,28.45
4/8/2019,28.24
4/9/2019,28.08
4/10/2019,28.11
4/11/2019,27.74
4/12/2019,27.91
4/15/2019,27.97
4/16/2019,27.99
4/17/2019,28.33
4/18/2019,28.88
4/22/2019,28.35
4/23/2019,28.51
4/24/2019,27.68
4/25/2019,27.77
4/26/2019,27.98
4/29/2019,28.01
4/30/2019,27.89
5/1/2019,27.73
5/2/2019,27.78
5/3/2019,27.96
5/6/2019,27.72
5/7/2019,27.6
5/8/2019,26.75
5/9/2019,26.02
5/10/2019,26.09
5/13/2019,25.42
5/14/2019,25.62
5/15/2019,25.83
5/16/2019,25.77
5/17/2019,25.63
5/20/2019,25.53
5/21/2019,25.71
5/22/2019,25.54
5/23/2019,25.28
5/24/2019,25.44
5/28/2019,25.1
5/29/2019,25.15
5/30/2019,25.19
5/31/2019,24.61
6/3/2019,24.83
6/4/2019,25.48
6/5/2019,25.63
6/6/2019,25.45
6/7/2019,25.58
6/10/2019,25.71
6/11/2019,25.96
6/12/2019,25.64
6/13/2019,25.74
6/14/2019,25.34
6/17/2019,25.56
6/18/2019,25.88
6/19/2019,25.81
6/20/2019,25.96
6/21/2019,25.84
6/24/2019,25.84
6/25/2019,25.75
6/26/2019,25.51
6/27/2019,25.84
6/28/2019,25.84
7/1/2019,26.12
7/2/2019,26.1
7/3/2019,26.06
7/5/2019,26.16
7/8/2019,26.19
7/9/2019,26.07
7/10/2019,26.39
7/11/2019,26.26
7/12/2019,26.48
